The Taubman Company,http://www.taubman.com,<li><a target="_blank" href="http://www.taubman.com">The Taubman Company</a></li>
Torre & Bruglio, Inc.,http://www.torreandbruglio.com,<li><a target="_blank" href="http://www.torreandbruglio.com">Torre & Bruglio, Inc.</a></li>
Trowbridge Law Firm PC,http://www.trowbridgelaw.com,<li><a target="_blank" href="http://www.trowbridgelaw.com">Trowbridge Law Firm PC</a></li>
Turner Construction Company,http://www.turnerconstruction.com,<li><a target="_blank" href="http://www.turnerconstruction.com">Turner Construction Company</a></li>
UAW-Chrysler National Training Center,http://www.uaw-daimlerchryslerntc.org,<li><a target="_blank" href="http://www.uaw-daimlerchryslerntc.org">UAW-Chrysler National Training Center</a></li>
UAW-GM Center for Human Resources,https://www.uawgmjas.org/j/,<li><a target="_blank" href="https://www.uawgmjas.org/j/">UAW-GM Center for Human Resources</a></li>
United Way for Southeastern Michigan,http://www.liveunitedsem.org,<li><a target="_blank" href="http://www.liveunitedsem.org">United Way for Southeastern Michigan</a></li>
University of Detroit Mercy,http://www.udmercy.edu,<li><a target="_blank" href="http://www.udmercy.edu">University of Detroit Mercy</a></li>
Urban League of Detroit,http://www.detroiturbanleague.org,<li><a target="_blank" href="http://www.detroiturbanleague.org">Urban League of Detroit</a></li>
W.H. Canon Company,http://whcanon.com,<li><a target="_blank" href="http://whcanon.com">W.H. Canon Company</a></li>
Walbridge,http://www.walbridge.com,<li><a target="_blank" href="http://www.walbridge.com">Walbridge</a></li>
Wayne County,http://www.waynecounty.com,<li><a target="_blank" href="http://www.waynecounty.com">Wayne County</a></li>
Wayne State University,http://wayne.edu,<li><a target="_blank" href="http://wayne.edu">Wayne State University</a></li>
WDIV-TV 4,http://www.clickondetroit.com,<li><a target="_blank" href="http://www.clickondetroit.com">WDIV-TV 4</a></li>
White Construction Company, Inc.,http://www.whitecon.com,<li><a target="_blank" href="http://www.whitecon.com">White Construction Company, Inc.</a></li>
WJR-AM,http://www.wjr.com,<li><a target="_blank" href="http://www.wjr.com">WJR-AM</a></li>
Woodward Parking Company,,<li>Woodward Parking Company</li>
YMCA of Metropolitan Detroit,http://ymcadetroit.org,<li><a target="_blank" href="http://ymcadetroit.org">YMCA of Metropolitan Detroit</a></li>
